Geography,Cases,Rate per 100000
"Washington County, CO","9","185.0"
"Weld County, CO","1,275","447.1"
"Yuma County, CO","21","207.0"
"Fairfield County, CT","3,121","329.2"
"Hartford County, CT","4,219","471.0"
"Litchfield County, CT","425","231.5"
"Middlesex County, CT","358","218.2"
"New Haven County, CT","3,878","451.2"
"New London County, CT","843","310.1"
"Tolland County, CT","321","212.0"
"Windham County, CT","328","281.4"
"Kent County, DE","1,173","676.0"
"New Castle County, DE","3,183","571.7"
"Sussex County, DE","1,009","467.9"
"District Of Columbia, DC","Data not available","Data not available"
"Alachua County, FL","2,237","860.5"
"Baker County, FL","136","496.0"
"Bay County, FL","785","432.2"
"Bradford County, FL","130","482.8"
"Brevard County, FL","1,991","350.5"
"Broward County, FL","9,928","523.5"
"Calhoun County, FL","68","470.2"
"Charlotte County, FL","317","183.1"
"Citrus County, FL","316","224.0"
"Clay County, FL","875","429.0"
"Collier County, FL","1,076","301.1"
"Columbia County, FL","380","556.0"
"Desoto County, FL","124","349.7"
"Dixie County, FL","70","432.0"
"Duval County, FL","6,634","726.6"
"Escambia County, FL","2,015","647.9"
"Flagler County, FL","331","314.1"
"Franklin County, FL","38","323.1"
"Gadsden County, FL","370","803.7"
"Gilchrist County, FL","41","238.4"
"Glades County, FL","57","417.0"
"Gulf County, FL","43","270.9"
"Hamilton County, FL","84","587.6"
"Hardee County, FL","121","440.0"
"Hendry County, FL","204","521.5"
"Hernando County, FL","453","253.9"
"Highlands County, FL","360","361.8"
"Hillsborough County, FL","8,066","597.9"
"Holmes County, FL","71","367.4"
"Indian River County, FL","494","334.0"
"Jackson County, FL","313","644.0"
"Jefferson County, FL","53","376.4"
"Lafayette County, FL","23","265.5"
"Lake County, FL","1,097","336.6"
"Lee County, FL","2,626","374.1"
"Leon County, FL","3,302","1153.4"
"Levy County, FL","172","431.8"
"Liberty County, FL","18","216.1"
"Madison County, FL","65","353.1"
"Manatee County, FL","1,406","386.9"
"Marion County, FL","1,457","424.5"
"Martin County, FL","334","213.7"
"Miami-Dade County, FL","12,687","471.1"
"Monroe County, FL","219","282.6"
"Nassau County, FL","190","242.2"
"Okaloosa County, FL","1,018","512.4"
"Okeechobee County, FL","144","364.8"
"Orange County, FL","8,354","648.5"
"Osceola County, FL","1,333","411.4"
"Palm Beach County, FL","5,455","383.4"
"Pasco County, FL","1,393","279.8"
"Pinellas County, FL","4,084","430.0"
"Polk County, FL","3,025","465.3"
"Putnam County, FL","325","451.2"
"St. Johns County, FL","599","264.3"
"St. Lucie County, FL","1,099","368.1"
"Santa Rosa County, FL","532","318.5"
"Sarasota County, FL","1,025","252.7"
"Seminole County, FL","1,708","380.3"
"Sumter County, FL","180","151.4"
"Suwannee County, FL","196","447.9"
"Taylor County, FL","112","497.9"
"Union County, FL","80","525.1"
"Volusia County, FL","1,834","354.1"
"Wakulla County, FL","140","444.0"
"Walton County, FL","199","313.3"
"Washington County, FL","130","526.6"
"Appling County, GA","99","536.5"
"Atkinson County, GA","36","428.7"
"Bacon County, GA","59","522.2"
"Baker County, GA","13","408.8"
"Baldwin County, GA","289","635.7"
"Banks County, GA","42","227.1"
"Barrow County, GA","281","372.8"
"Bartow County, GA","447","435.0"
"Ben Hill County, GA","102","586.1"
"Berrien County, GA","67","353.3"
"Bibb County, GA","1,585","1031.1"
"Bleckley County, GA","79","645.3"
"Brantley County, GA","50","270.9"
"Brooks County, GA","82","523.7"
"Bryan County, GA","158","449.7"
"Bulloch County, GA","619","852.0"
"Burke County, GA","147","646.3"
"Butts County, GA","88","373.0"
"Calhoun County, GA","43","663.7"
"Camden County, GA","239","458.7"
"Candler County, GA","48","440.9"
"Carroll County, GA","677","591.0"
"Catoosa County, GA","193","292.2"
"Charlton County, GA","50","385.7"
"Chatham County, GA","2,466","859.4"
"Chattahoochee County, GA","16","140.7"
"Chattooga County, GA","83","333.0"
"Cherokee County, GA","601","254.8"
"Clarke County, GA","1,063","857.9"
"Clay County, GA","14","445.7"
"Clayton County, GA","2,756","1006.0"
"Clinch County, GA","44","638.3"
"Cobb County, GA","3,774","509.1"
"Coffee County, GA","202","468.6"
"Colquitt County, GA","246","536.6"
"Columbia County, GA","335","232.6"
"Cook County, GA","107","624.9"
"Coweta County, GA","490","354.0"
"Crawford County, GA","27","218.0"
"Crisp County, GA","175","764.8"
"Dade County, GA","19","116.8"
"Dawson County, GA","49","210.2"
"Decatur County, GA","312","1148.2"
"Dekalb County, GA","5,799","789.1"
"Dodge County, GA","116","555.5"
"Dooly County, GA","82","584.3"
