Geography,Cases,Rate per 100000
"Jefferson County, CO","1,169","214.2"
"Kiowa County, CO","0","0.0"
"Kit Carson County, CO","23","283.8"
"Lake County, CO","20","274.6"
"La Plata County, CO","139","265.7"
"Larimer County, CO","1,039","334.1"
"Las Animas County, CO","33","220.6"
"Lincoln County, CO","8","147.0"
"Logan County, CO","55","251.5"
"Mesa County, CO","635","429.9"
"Mineral County, CO","1","140.8"
"Moffat County, CO","46","349.2"
"Montezuma County, CO","106","416.9"
"Montrose County, CO","81","199.0"
"Morgan County, CO","104","366.9"
"Otero County, CO","47","251.5"
"Ouray County, CO","3","65.9"
"Park County, CO","20","124.9"
"Phillips County, CO","9","205.3"
"Pitkin County, CO","42","243.8"
"Prowers County, CO","38","306.5"
"Pueblo County, CO","883","549.1"
"Rio Blanco County, CO","10","147.3"
"Rio Grande County, CO","58","487.6"
"Routt County, CO","59","253.9"
"Saguache County, CO","1","15.8"
"San Juan County, CO","1","143.9"
"San Miguel County, CO","11","145.0"
"Sedgwick County, CO","1","42.1"
"Summit County, CO","98","347.0"
"Teller County, CO","41","175.4"
"Washington County, CO","6","126.7"
"Weld County, CO","903","341.9"
"Yuma County, CO","19","187.6"
"Fairfield County, CT","2,605","278.5"
"Hartford County, CT","4,001","446.0"
"Litchfield County, CT","228","121.6"
"Middlesex County, CT","318","192.1"
"New Haven County, CT","4,003","463.4"
"New London County, CT","714","260.2"
"Tolland County, CT","243","159.9"
"Windham County, CT","242","205.2"
"Kent County, DE","862","514.3"
"New Castle County, DE","2,828","517.7"
"Sussex County, DE","748","368.0"
"District Of Columbia, DC","6,808","1071.5"
"Alachua County, FL","1,885","749.0"
"Baker County, FL","125","462.1"
"Bay County, FL","649","377.5"
"Bradford County, FL","160","589.7"
"Brevard County, FL","1,758","321.1"
"Broward County, FL","7,383","406.0"
"Calhoun County, FL","61","414.8"
"Charlotte County, FL","288","176.9"
"Citrus County, FL","364","261.4"
"Clay County, FL","735","378.2"
"Collier County, FL","801","240.9"
"Columbia County, FL","321","472.7"
"Desoto County, FL","112","321.8"
"Dixie County, FL","60","373.6"
"Duval County, FL","5,331","605.1"
"Escambia County, FL","1,826","600.3"
"Flagler County, FL","307","311.4"
"Franklin County, FL","61","524.6"
"Gadsden County, FL","389","835.5"
"Gilchrist County, FL","58","343.6"
"Glades County, FL","44","339.0"
"Gulf County, FL","57","363.8"
"Hamilton County, FL","107","727.5"
"Hardee County, FL","93","339.5"
"Hendry County, FL","203","538.9"
"Hernando County, FL","342","197.6"
"Highlands County, FL","245","250.0"
"Hillsborough County, FL","7,098","553.8"
"Holmes County, FL","52","263.6"
"Indian River County, FL","479","340.6"
"Jackson County, FL","292","596.2"
"Jefferson County, FL","72","507.2"
"Lafayette County, FL","13","147.5"
"Lake County, FL","935","308.2"
"Lee County, FL","2,167","336.0"
"Leon County, FL","2,561","902.2"
"Levy County, FL","185","463.2"
"Liberty County, FL","31","376.0"
"Madison County, FL","95","502.2"
"Manatee County, FL","1,334","399.5"
"Marion County, FL","1,395","417.5"
"Martin County, FL","268","180.0"
"Miami-Dade County, FL","9,612","368.1"
"Monroe County, FL","128","171.0"
"Nassau County, FL","196","262.7"
"Okaloosa County, FL","903","474.7"
"Okeechobee County, FL","142","361.7"
"Orange County, FL","6,361","529.0"
"Osceola County, FL","1,188","410.6"
"Palm Beach County, FL","3,938","289.9"
"Pasco County, FL","1,021","216.9"
"Pinellas County, FL","3,813","413.6"
"Polk County, FL","2,449","397.8"
"Putnam County, FL","338","462.6"
"St. Johns County, FL","426","210.6"
"St. Lucie County, FL","955","336.8"
"Santa Rosa County, FL","394","248.8"
"Sarasota County, FL","994","257.5"
"Seminole County, FL","1,444","334.8"
"Sumter County, FL","216","210.2"
"Suwannee County, FL","173","397.9"
"Taylor County, FL","121","531.9"
"Union County, FL","111","728.4"
"Volusia County, FL","1,662","334.3"
"Wakulla County, FL","109","353.9"
"Walton County, FL","128","223.4"
"Washington County, FL","80","322.1"
"Appling County, GA","75","408.4"
"Atkinson County, GA","37","449.0"
"Bacon County, GA","44","393.6"
"Baker County, GA","22","653.4"
"Baldwin County, GA","270","581.2"
"Banks County, GA","36","197.4"
"Barrow County, GA","215","306.3"
"Bartow County, GA","284","282.5"
"Ben Hill County, GA","132","752.9"
"Berrien County, GA","50","262.1"
"Bibb County, GA","1,399","896.1"
"Bleckley County, GA","71","550.3"
"Brantley County, GA","62","334.4"
"Brooks County, GA","81","521.7"
"Bryan County, GA","148","458.4"
"Bulloch County, GA","729","1000.6"
"Burke County, GA","153","661.9"
"Butts County, GA","92","392.2"
"Calhoun County, GA","48","739.9"
"Camden County, GA","161","313.4"
"Candler County, GA","48","431.1"
"Carroll County, GA","539","483.8"
"Catoosa County, GA","76","116.9"
"Charlton County, GA","46","345.3"
"Chatham County, GA","2,428","878.0"
"Chattahoochee County, GA","125","992.2"
"Chattooga County, GA","54","210.6"
"Cherokee County, GA","430","194.8"
"Clarke County, GA","946","786.9"
"Clay County, GA","36","1160.9"
"Clayton County, GA","1,872","702.9"
"Clinch County, GA","55","819.2"
"Cobb County, GA","2,810","397.0"
"Coffee County, GA","167","387.6"
"Colquitt County, GA","128","277.6"
"Columbia County, GA","191","144.1"
"Cook County, GA","90","534.2"
"Coweta County, GA","303","231.7"
"Crawford County, GA","31","244.9"
"Crisp County, GA","155","654.8"
"Dade County, GA","13","78.6"
"Dawson County, GA","51","228.0"
"Decatur County, GA","218","794.0"
"Dekalb County, GA","5,191","732.5"
"Dodge County, GA","80","375.0"
"Dooly County, GA","85","592.6"
"Dougherty County, GA","1,043","1102.7"
"Douglas County, GA","691","516.4"
"Early County, GA","101","952.1"
"Echols County, GA","6","150.3"
"Effingham County, GA","157","294.1"
"Elbert County, GA","109","556.6"
"Emanuel County, GA","165","722.2"
"Evans County, GA","83","778.5"
"Fannin County, GA","45","191.8"
"Fayette County, GA","241","224.4"
"Floyd County, GA","303","315.5"
"Forsyth County, GA","171","91.1"
"Franklin County, GA","88","401.0"
"Fulton County, GA","6,868","702.4"
"Gilmer County, GA","39","138.2"
"Glascock County, GA","5","159.8"
"Glynn County, GA","324","400.1"
"Gordon County, GA","129","231.6"
"Grady County, GA","88","347.2"
"Greene County, GA","83","514.2"
"Gwinnett County, GA","3,036","361.5"
"Habersham County, GA","73","167.9"
"Hall County, GA","452","244.3"
"Hancock County, GA","68","752.0"
"Haralson County, GA","75","264.3"
"Harris County, GA","69","211.6"
"Hart County, GA","66","258.1"
"Heard County, GA","28","240.2"
"Henry County, GA","877","420.8"
"Houston County, GA","720","492.1"
"Irwin County, GA","50","520.6"
"Jackson County, GA","149","246.5"
"Jasper County, GA","56","412.1"
"Jeff Davis County, GA","58","383.8"
"Jefferson County, GA","165","1005.9"
"Jenkins County, GA","56","613.0"
"Johnson County, GA","51","515.6"
"Jones County, GA","51","177.2"
"Lamar County, GA","92","510.0"
"Lanier County, GA","44","421.1"
"Laurens County, GA","338","704.4"
"Lee County, GA","82","285.5"
"Liberty County, GA","699","1069.0"
"Lincoln County, GA","35","451.7"
"Long County, GA","54","334.1"
"Lowndes County, GA","1,061","924.5"
"Lumpkin County, GA","43","140.0"
"Mcduffie County, GA","174","803.5"
"Mcintosh County, GA","57","412.0"
"Macon County, GA","55","384.7"
"Madison County, GA","113","402.9"
"Marion County, GA","24","274.8"
"Meriwether County, GA","96","450.5"
"Miller County, GA","23","385.6"
"Mitchell County, GA","139","601.7"
"Monroe County, GA","86","321.6"
"Montgomery County, GA","35","392.8"
"Morgan County, GA","69","387.0"
"Murray County, GA","111","281.9"
"Muscogee County, GA","1,489","743.8"
"Newton County, GA","727","719.1"
"Oconee County, GA","71","211.7"
"Oglethorpe County, GA","43","294.6"
"Paulding County, GA","293","202.1"
"Peach County, GA","276","1004.6"
"Pickens County, GA","52","177.3"
"Pierce County, GA","68","360.7"
"Pike County, GA","30","168.7"
"Polk County, GA","118","287.0"
"Pulaski County, GA","51","436.3"
"Putnam County, GA","102","482.0"
"Quitman County, GA","20","832.6"
"Rabun County, GA","32","196.2"
"Randolph County, GA","38","519.9"
"Richmond County, GA","1,659","821.9"
"Rockdale County, GA","621","725.2"
"Schley County, GA","11","220.7"
"Screven County, GA","74","521.1"
"Seminole County, GA","44","494.3"
"Spalding County, GA","335","525.7"
"Stephens County, GA","93","361.6"
"Stewart County, GA","31","507.7"
"Sumter County, GA","299","944.7"
"Talbot County, GA","49","749.5"
"Taliaferro County, GA","9","538.3"
"Tattnall County, GA","98","387.3"
"Taylor County, GA","67","800.3"
"Telfair County, GA","70","428.3"
"Terrell County, GA","103","1115.6"
"Thomas County, GA","287","644.1"
"Tift County, GA","287","700.6"
"Toombs County, GA","131","482.1"
"Towns County, GA","16","152.4"
"Treutlen County, GA","40","592.3"
"Troup County, GA","524","765.9"
"Turner County, GA","55","657.3"
"Twiggs County, GA","38","446.6"
"Union County, GA","17","79.2"
"Upson County, GA","165","620.3"
"Walker County, GA","103","151.1"
"Walton County, GA","325","383.2"
"Ware County, GA","221","617.0"
"Warren County, GA","59","1059.6"
"Washington County, GA","169","810.6"
"Wayne County, GA","115","378.8"
"Webster County, GA","11","393.7"
"Wheeler County, GA","21","265.7"
"White County, GA","57","206.8"
"Whitfield County, GA","280","271.2"
"Wilcox County, GA","62","686.7"
"Wilkes County, GA","57","567.4"
"Wilkinson County, GA","61","638.9"
"Worth County, GA","66","307.5"
"Hawaii County, HI","607","321.5"
"Honolulu County, HI","5,096","521.8"
"Kalawao County, HI","0","0.0"
"Kauai County, HI","144","210.1"
